date,regime_label,regime_prob,method
2010-08-31,Normal,6.998037216436567e-37,HMM
2010-09-01,Normal,7.961229759146219e-10,HMM
2010-09-02,Normal,7.997746045560475e-10,HMM
2010-09-03,Normal,7.989248787734014e-10,HMM
2010-09-07,Normal,8.04355334998663e-10,HMM
2010-09-08,Normal,7.469215147482466e-10,HMM
2010-09-09,Normal,7.753415168900113e-10,HMM
2010-09-10,Normal,8.382691946931351e-10,HMM
2010-09-13,Normal,8.505116597700184e-10,HMM
2010-09-14,Normal,9.001727697072314e-10,HMM
2010-09-15,Normal,9.049304754281973e-10,HMM
2010-09-16,Normal,9.93866369687057e-10,HMM
2010-09-17,Normal,1.0098941743317394e-9,HMM
2010-09-20,Normal,9.447682626161456e-10,HMM
2010-09-21,Normal,9.851987858421285e-10,HMM
2010-09-22,Normal,9.35466348686981e-10,HMM
2010-09-23,Normal,1.1246992602553958e-9,HMM
2010-09-24,Normal,1.1155074057278878e-9,HMM
2010-09-27,Normal,1.5121943469235501e-9,HMM
2010-09-28,Normal,1.4647921965324847e-9,HMM
2010-09-29,Normal,1.4757396307089076e-9,HMM
2010-09-30,Normal,1.388977797340475e-9,HMM
2010-10-01,Normal,1.3154912790018164e-9,HMM
2010-10-04,Normal,1.3429267053889012e-9,HMM
2010-10-05,Normal,1.338881961391688e-9,HMM
2010-10-06,Normal,1.3035014621436216e-9,HMM
2010-10-07,Normal,1.285062157829061e-9,HMM
2010-10-08,Normal,1.2851240537803346e-9,HMM
2010-10-11,Normal,1.2656061868039657e-9,HMM
2010-10-12,Normal,1.27874429615011e-9,HMM
2010-10-13,Normal,1.2638285339668867e-9,HMM
2010-10-14,Normal,1.2637536630154196e-9,HMM
2010-10-15,Normal,1.1856903922961274e-9,HMM
2010-10-18,Normal,1.2586283707863892e-9,HMM
2010-10-19,Normal,1.3105059477109888e-9,HMM
2010-10-20,Normal,1.3226891501822143e-9,HMM
2010-10-21,Normal,1.3967166727073828e-9,HMM
2010-10-22,Normal,1.3833291543322418e-9,HMM
2010-10-25,Normal,1.3787251262420877e-9,HMM
2010-10-26,Normal,1.4189207781834748e-9,HMM
2010-10-27,Normal,1.4027802587617343e-9,HMM
2010-10-28,Normal,1.34045473547446e-9,HMM
2010-10-29,Normal,1.436210838716849e-9,HMM
2010-11-01,Normal,1.4754474465267934e-9,HMM
2010-11-02,Normal,1.4789893737524405e-9,HMM
2010-11-03,Normal,1.4710711348204331e-9,HMM
2010-11-04,Normal,1.4889805664563473e-9,HMM
2010-11-05,Normal,1.5564716814387352e-9,HMM
2010-11-08,Normal,1.5564140285059716e-9,HMM
2010-11-09,Normal,1.579395052820586e-9,HMM
2010-11-10,Normal,1.5809723396950856e-9,HMM
2010-11-11,Normal,1.6038022091122279e-9,HMM
